City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Clyde River,CA,2022-06-01 16:08:35,70.4692,-68.5914,33.87,96,100,1.92
68,Quchan,IR,2022-06-01 16:08:36,37.106,58.5095,70.14,25,0,8.48
69,Jega,NG,2022-06-01 16:08:36,12.2175,4.3792,103.23,18,13,6.11
70,Broome,US,2022-06-01 16:08:36,42.2506,-75.833,85.01,66,20,4.61
71,Broken Hill,AU,2022-06-01 16:08:37,-31.95,141.4333,47.37,58,100,2.93
72,Sinjar,IQ,2022-06-01 16:08:37,36.3209,41.8754,96.48,9,2,7.36
73,Ganzhou,CN,2022-06-01 16:08:37,28.8184,115.4327,74.08,98,98,1.88
74,Linxia,CN,2022-06-01 16:08:38,35.6003,103.2064,61.07,52,7,1.36
75,Naila,DE,2022-06-01 16:08:38,50.3167,11.7,67.87,44,0,15.99
76,Key West,US,2022-06-01 16:06:59,24.5557,-81.7826,89.6,65,0,8.05
77,Nikolskoye,RU,2022-06-01 16:08:39,59.7035,30.7861,69.69,43,96,4.12
78,Hithadhoo,MV,2022-06-01 16:08:39,-0.6,73.0833,83.75,69,72,10.25
79,Peterhead,GB,2022-06-01 16:08:39,57.5058,-1.7981,62.46,77,35,12.82
80,Nanortalik,GL,2022-06-01 16:08:40,60.1432,-45.2371,40.5,81,100,2.3
81,Kokoda,PG,2022-06-01 16:08:40,-8.8785,147.7407,70.93,94,8,2.35
82,Cabo San Lucas,MX,2022-06-01 16:06:07,22.8909,-109.9124,84.61,72,0,3.44
83,Divnomorskoye,RU,2022-06-01 16:08:41,44.5011,38.1353,72.36,84,42,3.4
84,Invermere,CA,2022-06-01 16:08:41,50.5167,-116.0354,57.42,54,90,3.33
85,Mar Del Plata,AR,2022-06-01 16:08:42,-38.0023,-57.5575,52.95,67,20,14.97
86,Crotone,IT,2022-06-01 16:08:42,39.0851,17.1178,88.2,53,0,6.29
87,Georgetown,MY,2022-06-01 16:07:10,5.4112,100.3354,82.33,83,20,0.0
88,Poronaysk,RU,2022-06-01 16:08:43,49.2167,143.1167,40.17,97,100,5.73
89,Upernavik,GL,2022-06-01 16:08:43,72.7868,-56.1549,26.28,69,1,6.71
90,Cabra,ES,2022-06-01 16:08:43,37.4725,-4.4421,84.78,27,5,10.04
91,Sijunjung,ID,2022-06-01 16:08:44,-0.6876,100.9537,72.05,94,55,2.13
92,Mafinga,TZ,2022-06-01 16:08:44,-7.25,35.0667,74.03,47,41,8.25
93,Barrow,US,2022-06-01 16:08:44,71.2906,-156.7887,33.82,86,100,11.5
94,Port Alfred,ZA,2022-06-01 16:08:45,-33.5906,26.891,62.19,65,8,5.01
95,Atuona,PF,2022-06-01 16:05:00,-9.8,-139.0333,78.06,75,9,9.35
96,Hamina,FI,2022-06-01 16:09:46,60.5697,27.1979,67.28,66,82,10.51
97,Launceston,AU,2022-06-01 16:09:46,-41.45,147.1667,39.15,93,3,3.44
98,Grand Gaube,MU,2022-06-01 16:09:46,-20.0064,57.6608,74.37,64,22,3.0
99,Ancud,CL,2022-06-01 16:09:47,-41.8697,-73.8203,43.23,71,18,4.52
100,Kloulklubed,PW,2022-06-01 16:09:47,7.0419,134.2556,75.7,74,47,14.32
101,Torbay,CA,2022-06-01 16:05:31,47.6666,-52.7314,41.76,96,100,12.66
102,Grindavik,IS,2022-06-01 16:09:48,63.8424,-22.4338,52.27,82,75,3.44
103,Mahebourg,MU,2022-06-01 16:09:49,-20.4081,57.7,74.25,71,10,13.91
104,Okhotsk,RU,2022-06-01 16:09:49,59.3833,143.3,39.51,87,100,2.95
105,Nemuro,JP,2022-06-01 16:09:50,43.3236,145.575,44.62,99,100,10.71
106,Constantine,DZ,2022-06-01 16:09:32,36.365,6.6147,95.68,18,98,4.92
107,Fairbanks,US,2022-06-01 16:05:02,64.8378,-147.7164,59.81,56,75,3.44
108,Guerrero Negro,MX,2022-06-01 16:09:50,27.9769,-114.0611,65.52,66,22,12.59
109,Albany,US,2022-06-01 16:05:45,42.6001,-73.9662,68.52,85,100,8.14
110,Bethel,US,2022-06-01 16:09:51,41.3712,-73.414,71.19,68,0,8.05
111,Obo,CF,2022-06-01 16:09:51,5.3998,26.4869,77.04,73,64,0.94
112,Olafsvik,IS,2022-06-01 16:09:52,64.8945,-23.7142,50.22,83,97,3.18
113,Le Vauclin,MQ,2022-06-01 16:09:52,14.5452,-60.8388,87.85,62,75,12.66
114,Maniwaki,CA,2022-06-01 16:07:11,46.3834,-75.966,59.25,78,98,7.36
115,Zhigansk,RU,2022-06-01 16:09:53,66.7697,123.3711,39.9,75,8,9.1
116,Teya,RU,2022-06-01 16:09:53,60.3778,92.6267,48.45,75,96,3.11
117,Leningradskiy,RU,2022-06-01 16:09:53,69.3833,178.4167,35.46,95,99,7.76
118,Bereda,ES,2022-06-01 16:09:54,43.2686,-7.5406,62.08,78,86,8.95
119,Kaitangata,NZ,2022-06-01 16:09:54,-46.2817,169.8464,48.36,86,81,4.21
120,Husavik,IS,2022-06-01 16:09:55,66.0449,-17.3389,48.02,84,81,7.61
121,Wanlaweyn,SO,2022-06-01 16:09:55,2.6185,44.8938,80.22,67,17,20.96
